coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,main_temp_celsius,main_temp_fahrenheit,main_feels_like_celsius,main_feels_like_fahrenheit,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,sys_sunrise_time,timezone,id,name,cod
81.6333,21.2333,200,Thunderstorm,thunderstorm with light rain,11n,stations,299.23,299.23,299.23,299.23,1003,94,1003,969,26.08000000000004,78.94400000000007,26.08000000000004,78.94400000000007,2000,3.09,220,75,1722448601,1,9168,IN,1722384396,1722431576,2024-07-31T05:36:36,19800,1258980,Raipur,200
75.8333,25.1833,501,Rain,moderate rain,10n,stations,303.23,308.89,303.23,303.23,999,72,999,973,30.08000000000004,86.14400000000008,35.74000000000001,96.33200000000002,10000,5.37,243,100,1722448324,,,IN,1722385407,1722433349,2024-07-31T05:53:27,19800,1266049,Kota,200
91.751,26.1862,701,Mist,mist,50n,stations,302.1,308.63,302.1,302.1,1001,84,1001,994,28.950000000000045,84.11000000000008,35.48000000000002,95.86400000000003,3000,1.03,200,75,1722448575,1,9117,IN,1722381485,1722429631,2024-07-31T04:48:05,19800,1271476,Guwahati,200
76.7933,30.7343,501,Rain,moderate rain,10n,stations,299.24,299.24,299.24,299.24,999,94,999,961,26.090000000000032,78.96200000000006,26.090000000000032,78.96200000000006,4701,9.76,134,96,1722448537,,,IN,1722384591,1722433704,2024-07-31T05:39:51,19800,1274746,Chandigarh,200
75.9167,17.6833,500,Rain,light rain,10n,stations,298.1,298.87,298.1,298.1,1007,85,1007,954,24.950000000000045,76.91000000000008,25.720000000000027,78.29600000000005,10000,7.15,254,100,1722448607,,,IN,1722386092,1722432625,2024-07-31T06:04:52,19800,1256436,Solapur,200
76.6497,12.3072,804,Clouds,overcast clouds,04n,stations,294.11,294.72,294.11,294.11,1012,94,1012,928,20.960000000000036,69.72800000000007,21.57000000000005,70.82600000000009,10000,4.18,255,100,1722448077,,,IN,1722386379,1722431985,2024-07-31T06:09:39,19800,1262321,Mysore,200
78.6833,10.8167,803,Clouds,broken clouds,04n,stations,302.21,305.11,302.21,302.53,1009,65,1009,1000,29.060000000000002,84.308,31.960000000000036,89.52800000000008,6000,4.12,260,75,1722448622,1,9227,IN,1722386015,1722431373,2024-07-31T06:03:35,19800,1254388,Tiruchirappalli,200
79.4167,28.35,501,Rain,moderate rain,10n,stations,300.29,304.06,300.29,300.29,1001,88,1001,981,27.140000000000043,80.85200000000009,30.910000000000025,87.63800000000005,10000,2.52,78,100,1722448449,,,IN,1722384221,1722432815,2024-07-31T05:33:41,19800,1277013,Bareilly,200
78.0833,27.8833,501,Rain,moderate rain,10n,stations,300.44,304.73,300.44,300.44,1000,90,1000,979,27.29000000000002,81.12200000000004,31.58000000000004,88.84400000000008,8881,4.87,8,98,1722448623,,,IN,1722384591,1722433085,2024-07-31T05:39:51,19800,1279017,Aligarh,200
77.35,11.1,804,Clouds,overcast clouds,04n,stations,296.79,297.64,296.79,296.79,1011,93,1011,976,23.640000000000043,74.55200000000008,24.49000000000001,76.08200000000002,10000,4.57,241,99,1722448623,1,9206,IN,1722386312,1722431717,2024-07-31T06:08:32,19800,1254348,Tirupur,200
78.7833,28.8333,501,Rain,moderate rain,10n,stations,299.91,303.57,299.91,299.91,1001,94,1001,978,26.760000000000048,80.16800000000009,30.420000000000016,86.75600000000003,8064,2.05,131,100,1722448624,,,IN,1722384322,1722433018,2024-07-31T05:35:22,19800,1262801,Morādābād,200
75.5792,31.3256,804,Clouds,overcast clouds,04n,stations,307.45,312.21,307.45,307.45,995,50,995,969,34.30000000000001,93.74000000000002,39.06,102.308,10000,2.99,159,88,1722448615,,,IN,1722384816,1722434062,2024-07-31T05:43:36,19800,1268782,Jalandhar,200
85.8333,20.2333,200,Thunderstorm,thunderstorm with light rain,11n,stations,300.27,305.42,300.27,300.36,1001,100,1001,998,27.120000000000005,80.816,32.27000000000004,90.08600000000007,2500,1.54,180,100,1722448400,1,9113,IN,1722383480,1722430476,2024-07-31T05:21:20,19800,1275817,Bhubaneswar,200
